DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-03 11:39:53.651+00:00, 512, -679, 27, -3892
2023-02-03 11:39:53.690+00:00, 512, 23, -121, -936
2023-02-03 11:39:53.730+00:00, 512, 0, -78, -963
2023-02-03 11:39:53.769+00:00, 511, -1658, -316, -215
2023-02-03 11:39:53.808+00:00, 368, -1045, -125, 59
2023-02-03 11:39:53.847+00:00, 215, -936, 0, 66
2023-02-03 11:39:53.886+00:00, 122, -987, -27, 51
2023-02-03 11:39:53.925+00:00, 67, -870, -16, 66
2023-02-03 11:39:53.964+00:00, 36, -948, -8, 90
2023-02-03 11:39:54.003+00:00, 19, -940, -59, 133
2023-02-03 11:39:54.042+00:00, 9, -940, -23, 86
2023-02-03 11:39:54.081+00:00, 4, -995, 39, 39
2023-02-03 11:39:54.120+00:00, 1, -995, -117, 137
2023-02-03 11:39:54.159+00:00, 0, -944, -109, 144
